lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,country,date
-33.87,121.9,285.15,81,90,2.1,AU,1594463442
-3.43,10.66,297.75,76,66,3.24,GA,1594463575
36.73,24.43,299.15,61,20,9.3,GR,1594463576
-18.77,46.03,299.62,33,0,3.84,MG,1594463576
19.05,-95.98,298.71,80,98,1.34,MX,1594463576
58.52,64.55,304.76,40,6,6.2,RU,1594463576
10.28,22.79,297.75,83,100,2.09,CF,1594463576
28.66,-17.92,298.15,65,20,6.7,ES,1594463576
57.79,-152.41,285.15,81,1,2.1,US,1594463577
67.45,153.68,290.82,62,28,3.27,RU,1594463577
-8.14,159.59,299.23,82,100,5.27,SB,1594463577
-9.6,-35.96,295.15,94,20,3.1,BR,1594463577
53.34,15.05,290.93,59,40,4.6,PL,1594463577
-30.18,-50.21,286.62,94,98,3.27,BR,1594463289
70.05,24.97,289.15,51,100,4.1,NO,1594463578
32.25,67.25,307.17,10,0,5.6,AF,1594463578
9.32,16.16,304.56,53,87,1.87,TD,1594463578
39.42,29.98,301.15,45,0,1.5,TR,1594463502
-34.67,-54.92,280.93,75,64,1.5,UY,1594463578
58.52,-117.14,284.15,100,1,1.0,CA,1594463579
29.56,34.95,307.15,38,0,2.6,IL,1594463579
-8.42,20.74,307.74,17,52,3.21,AO,1594463579
59.38,143.3,285.08,90,92,2.93,RU,1594463579
-34.0,24.73,285.63,71,63,14.71,ZA,1594463580
-31.93,115.83,287.59,58,0,3.1,AU,1594463377
63.84,-22.43,283.15,93,75,6.2,IS,1594463580
62.55,155.55,284.0,87,27,1.69,RU,1594463580
-0.95,122.79,298.35,79,100,2.02,ID,1594463580
29.03,21.55,308.36,20,0,3.77,LY,1594463580
-38.27,141.97,283.92,88,100,3.41,AU,1594463581
35.19,-114.05,301.48,29,1,2.6,US,1594463581
66.32,-179.17,287.02,75,99,1.34,RU,1594463581
-10.45,161.92,298.89,82,100,3.22,SB,1594463581
-13.28,-50.16,296.62,50,47,2.19,BR,1594463581
60.05,69.9,303.84,46,58,3.55,RU,1594463582
8.46,25.68,302.87,61,65,1.77,SS,1594463582
37.46,-122.43,287.15,76,1,1.5,US,1594463456
-11.1,-77.61,288.71,78,83,1.72,PE,1594463582
-19.98,23.42,292.15,32,0,6.7,BW,1594463582
4.93,-52.33,297.15,100,100,2.91,GF,1594463519
-24.7,44.75,302.81,28,0,5.66,MG,1594463583
14.51,-92.19,297.89,87,100,3.12,GT,1594463583
54.17,17.49,291.48,67,40,6.7,PL,1594463583
-28.77,114.6,289.15,44,0,2.6,AU,1594463466
5.28,115.24,301.15,83,20,5.05,MY,1594463583
45.52,-122.68,288.71,83,0,0.96,US,1594463583
64.25,-15.21,286.15,66,40,1.5,IS,1594463584
35.24,129.21,297.15,73,75,4.6,KR,1594463584
-9.43,159.95,297.15,100,75,3.16,SB,1594463584
